"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/12/2015","AQS","420010001","1","0.048","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/13/2015","AQS","420010001","1","0.038","ppm","35","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/14/2015","AQS","420010001","1","0.039","ppm","36","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/15/2015","AQS","420010001","1","0.044","ppm","41","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/16/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/17/2015","AQS","420010001","1","0.045","ppm","42","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/18/2015","AQS","420010001","1","0.048","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/19/2015","AQS","420010001","1","0.048","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/20/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/21/2015","AQS","420010001","1","0.046","ppm","43","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/22/2015","AQS","420010001","1","0.045","ppm","42","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/23/2015","AQS","420010001","1","0.043","ppm","40","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/24/2015","AQS","420010001","1","0.03","ppm","28","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/25/2015","AQS","420010001","1","0.024","ppm","22","Arendtsville","13","76.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/26/2015","AQS","420010001","1","0.037","ppm","34","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/27/2015","AQS","420010001","1","0.036","ppm","33","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/28/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/29/2015","AQS","420010001","1","0.045","ppm","42","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/30/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"03/31/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/01/2015","AQS","420010001","1","0.046","ppm","43","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/02/2015","AQS","420010001","1","0.053","ppm","49","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/03/2015","AQS","420010001","1","0.038","ppm","35","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/04/2015","AQS","420010001","1","0.042","ppm","39","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/05/2015","AQS","420010001","1","0.047","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/06/2015","AQS","420010001","1","0.054","ppm","50","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/07/2015","AQS","420010001","1","0.042","ppm","39","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/08/2015","AQS","420010001","1","0.03","ppm","28","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/09/2015","AQS","420010001","1","0.028","ppm","26","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/10/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/11/2015","AQS","420010001","1","0.047","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/12/2015","AQS","420010001","1","0.057","ppm","58","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/13/2015","AQS","420010001","1","0.054","ppm","50","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/14/2015","AQS","420010001","1","0.039","ppm","36","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/15/2015","AQS","420010001","1","0.052","ppm","48","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/16/2015","AQS","420010001","1","0.057","ppm","58","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/17/2015","AQS","420010001","1","0.044","ppm","41","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/18/2015","AQS","420010001","1","0.066","ppm","87","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/19/2015","AQS","420010001","1","0.048","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/20/2015","AQS","420010001","1","0.047","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/21/2015","AQS","420010001","1","0.048","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/22/2015","AQS","420010001","1","0.044","ppm","41","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/23/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/24/2015","AQS","420010001","1","0.051","ppm","47","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/25/2015","AQS","420010001","1","0.047","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/26/2015","AQS","420010001","1","0.045","ppm","42","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/27/2015","AQS","420010001","1","0.041","ppm","38","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/28/2015","AQS","420010001","1","0.048","ppm","44","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/29/2015","AQS","420010001","1","0.05","ppm","46","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"04/30/2015","AQS","420010001","1","0.049","ppm","45","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/01/2015","AQS","420010001","1","0.04","ppm","37","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/02/2015","AQS","420010001","1","0.053","ppm","49","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/03/2015","AQS","420010001","1","0.062","ppm","74","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/04/2015","AQS","420010001","1","0.059","ppm","64","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/05/2015","AQS","420010001","1","0.058","ppm","61","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/06/2015","AQS","420010001","1","0.056","ppm","54","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/07/2015","AQS","420010001","1","0.065","ppm","84","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/08/2015","AQS","420010001","1","0.064","ppm","80","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/09/2015","AQS","420010001","1","0.039","ppm","36","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/10/2015","AQS","420010001","1","0.039","ppm","36","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/11/2015","AQS","420010001","1","0.043","ppm","40","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/12/2015","AQS","420010001","1","0.055","ppm","51","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/13/2015","AQS","420010001","1","0.036","ppm","33","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/14/2015","AQS","420010001","1","0.055","ppm","51","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
"05/15/2015","AQS","420010001","1","0.061","ppm","71","Arendtsville","17","100.0000","44201","Ozone","23900","Gettysburg, PA","42","Pennsylvania","001","Adams","39.9200201125851","-77.3096801656909"
